instrument,entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lot_size,pnl,exit_reason,balance
EURUSD,2024-01-02 09:45:00,2024-01-02 10:00:00,SELL,1.1027099999999999,1.10324,1.1027099999999999,1.1014264285714284,0.01,-0.5300000000001415,SL,99.46999999999986
EURUSD,2024-01-03 03:15:00,2024-01-03 05:45:00,BUY,1.0952600000000001,1.09608,1.0944714285714285,1.0959371428571427,0.01,0.819999999999821,TP,100.28999999999968
EURUSD,2024-01-05 04:00:00,2024-01-05 05:00:00,BUY,1.09546,1.09439,1.0945792857142855,1.0963214285714287,0.01,-1.0700000000001264,SL,99.21999999999956
XAUUSD,2024-01-05 08:15:00,2024-01-05 09:00:00,SELL,2044.03,2045.13,2044.03,2040.7699999999998,0.01,-1.1700000000001365,SL,98.04999999999943
XAUUSD,2024-01-10 03:15:00,2024-01-10 04:45:00,BUY,2028.49,2031.82,2028.49,2031.8099999999997,0.01,3.2599999999999274,TP,101.30999999999936
XAUUSD,2024-01-10 05:00:00,2024-01-10 05:45:00,BUY,2032.2,2028.84,2029.2489285714285,2036.902142857143,0.01,-3.430000000000127,SL,97.87999999999924
EURUSD,2024-01-09 17:15:00,2024-01-10 09:30:00,SELL,1.0938299999999999,1.09398,1.0938299999999999,1.091359285714286,0.01,-0.1500000000000945,SL,97.72999999999915
EURUSD,2024-01-10 10:15:00,2024-01-10 12:00:00,BUY,1.0933800000000002,1.09512,1.0933800000000002,1.094982857142857,0.01,1.7399999999998528,TP,99.469999999999
EURUSD,2024-01-10 15:30:00,2024-01-10 17:30:00,SELL,1.0943499999999997,1.09635,1.0956582142857143,1.092633571428571,0.01,-2.000000000000224,SL,97.46999999999878
XAUUSD,2024-01-11 01:15:00,2024-01-11 06:00:00,BUY,2026.21,2031.8,2026.21,2031.33,0.01,5.519999999999918,TP,102.9899999999987
EURUSD,2024-01-15 09:15:00,2024-01-15 09:45:00,SELL,1.0961199999999998,1.09535,1.0969182142857143,1.0954235714285712,0.01,0.7699999999997154,TP,103.75999999999841
EURUSD,2024-01-15 10:15:00,2024-01-15 11:30:00,SELL,1.0959799999999997,1.09455,1.0969667857142857,1.0949064285714283,0.01,1.4299999999998203,TP,105.18999999999824
EURUSD,2024-01-15 20:15:00,2024-01-16 02:15:00,BUY,1.09519,1.0939,1.094098214285714,1.0964735714285716,0.01,-1.2900000000000134,SL,103.89999999999822
XAUUSD,2024-01-15 19:15:00,2024-01-16 02:45:00,BUY,2054.6199999999994,2051.34,2051.7214285714285,2059.2171428571423,0.01,-3.3499999999992904,SL,100.54999999999893
EURUSD,2024-01-17 10:00:00,2024-01-17 10:15:00,SELL,1.0867099999999998,1.08795,1.0879271428571429,1.0851757142857144,0.01,-1.2400000000001299,SL,99.30999999999881
EURUSD,2024-01-17 17:15:00,2024-01-17 22:45:00,SELL,1.0861599999999998,1.08809,1.0880060714285713,1.0833678571428573,0.01,-1.9300000000002093,SL,97.3799999999986
EURUSD,2024-01-22 09:15:00,2024-01-22 10:30:00,SELL,1.09004,1.08894,1.090934642857143,1.0891507142857144,0.01,1.0999999999998789,TP,98.47999999999848
EURUSD,2024-01-23 03:30:00,2024-01-23 03:45:00,BUY,1.0882000000000003,1.08883,1.0874382142857144,1.0888235714285714,0.01,0.6299999999996864,TP,99.10999999999817
XAUUSD,2024-01-23 05:15:00,2024-01-23 05:45:00,BUY,2022.25,2027.34,2022.25,2026.1828571428568,0.01,5.019999999999918,TP,104.12999999999809
EURUSD,2024-01-23 05:00:00,2024-01-23 07:15:00,BUY,1.0890400000000002,1.09001,1.0881207142857143,1.0899785714285715,0.01,0.9699999999996933,TP,105.09999999999778
XAUUSD,2024-01-23 09:30:00,2024-01-23 12:45:00,BUY,2030.0,2025.08,2025.8232142857141,2037.1535714285715,0.01,-4.990000000000073,SL,100.10999999999771
XAUUSD,2024-01-23 21:15:00,2024-01-24 07:15:00,BUY,2027.3400000000001,2023.43,2023.7342857142858,2033.3514285714286,0.01,-3.9800000000000817,SL,96.12999999999764
XAUUSD,2024-01-24 16:30:00,2024-01-24 16:45:00,SELL,2032.53,2024.53,2036.7785714285715,2025.2328571428573,0.01,7.93,TP,104.05999999999764
XAUUSD,2024-01-25 10:15:00,2024-01-25 11:30:00,SELL,2013.84,2016.71,2016.415,2009.89,0.01,-2.940000000000118,SL,101.11999999999753
EURUSD,2024-01-25 15:15:00,2024-01-25 16:00:00,SELL,1.0890399999999998,1.08642,1.0890399999999998,1.087662142857143,0.01,2.6199999999998447,TP,103.73999999999738
XAUUSD,2024-01-25 22:15:00,2024-01-26 15:45:00,BUY,2017.99,2024.55,2017.99,2024.2285714285715,0.01,6.489999999999945,TP,110.22999999999732
EURUSD,2024-01-29 09:30:00,2024-01-29 10:45:00,SELL,1.0844099999999999,1.08347,1.0852735714285715,1.0835828571428572,0.01,0.9399999999999409,TP,111.16999999999726
EURUSD,2024-01-30 06:15:00,2024-01-30 08:15:00,SELL,1.0829999999999997,1.08207,1.0838657142857142,1.0821685714285714,0.01,0.9299999999996533,TP,112.09999999999691
EURUSD,2024-01-31 12:15:00,2024-01-31 15:30:00,BUY,1.0829300000000002,1.08545,1.0829300000000002,1.0852678571428571,0.01,2.5199999999998557,TP,114.61999999999676
