instrument,entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lot_size,pnl,exit_reason,balance
EURUSD,2024-01-02 09:30:00,2024-01-02 10:00:00,SELL,1.10286,1.10324,1.10286,1.1012902857142859,0.01,-0.38000000000004697,SL,99.61999999999995
EURUSD,2024-01-03 03:00:00,2024-01-03 03:30:00,BUY,1.09512,1.09543,1.0947542857142856,1.0954014285714289,0.02,0.6199999999996209,TP,100.23999999999957
EURUSD,2024-01-03 04:15:00,2024-01-03 04:45:00,BUY,1.09502,1.09522,1.0947517142857142,1.0951065714285717,0.04,0.7999999999999119,TP,101.03999999999948
EURUSD,2024-01-05 03:45:00,2024-01-05 04:30:00,BUY,1.09531,1.09487,1.0950297142857144,1.095420571428571,0.04,-1.7599999999999838,SL,99.27999999999949
XAUUSD,2024-01-05 08:00:00,2024-01-05 09:00:00,SELL,2044.21,2045.13,2044.21,2040.6664285714285,0.01,-0.9900000000000728,SL,98.28999999999942
EURUSD,2024-01-09 19:30:00,2024-01-09 20:15:00,SELL,1.09353,1.09281,1.0940957142857142,1.0928485714285716,0.01,0.7199999999998319,TP,99.00999999999925
XAUUSD,2024-01-10 03:00:00,2024-01-10 03:45:00,BUY,2028.32,2031.75,2028.32,2031.5914285714284,0.01,3.360000000000064,TP,102.36999999999932
EURUSD,2024-01-10 03:15:00,2024-01-10 05:15:00,BUY,1.09298,1.09345,1.0925324285714286,1.0934251428571427,0.02,0.9399999999999409,TP,103.30999999999926
XAUUSD,2024-01-10 04:30:00,2024-01-10 07:30:00,BUY,2030.93,2028.09,2028.2817857142857,2035.6264285714287,0.01,-2.9100000000001454,SL,100.39999999999912
EURUSD,2024-01-10 09:15:00,2024-01-10 09:30:00,SELL,1.09316,1.09398,1.093424857142857,1.0930802857142858,0.04,-3.2800000000001717,SL,97.11999999999895
EURUSD,2024-01-10 10:00:00,2024-01-10 10:45:00,BUY,1.0932300000000001,1.09434,1.0932300000000001,1.0942900000000004,0.01,1.1099999999999444,TP,98.2299999999989
EURUSD,2024-01-10 15:15:00,2024-01-10 17:30:00,SELL,1.09449,1.09635,1.095326,1.0932680000000001,0.01,-1.8599999999999728,SL,96.36999999999892
XAUUSD,2024-01-11 01:00:00,2024-01-11 06:00:00,BUY,2026.03,2031.8,2026.03,2031.405714285714,0.01,5.6999999999999815,TP,102.06999999999891
EURUSD,2024-01-15 09:00:00,2024-01-15 09:30:00,SELL,1.0962699999999999,1.09582,1.0966825714285713,1.0958948571428573,0.02,0.8999999999996788,TP,102.96999999999859
EURUSD,2024-01-15 10:00:00,2024-01-15 11:15:00,SELL,1.0961299999999998,1.09539,1.0961299999999998,1.095397714285714,0.01,0.7399999999997408,TP,103.70999999999833
EURUSD,2024-01-15 20:00:00,2024-01-16 01:45:00,BUY,1.09504,1.09449,1.094550857142857,1.0955682857142857,0.02,-1.100000000000101,SL,102.60999999999822
XAUUSD,2024-01-15 19:00:00,2024-01-16 02:45:00,BUY,2054.4199999999996,2051.34,2051.6507142857145,2059.3585714285705,0.01,-3.1499999999994723,SL,99.45999999999876
