trade_id,open_time,close_time,duration_minutes,symbol,direction,volume,entry_price,exit_price,sl,tp,pnl,pnl_pips,win,open_hour,open_day_of_week,session,open_atr,open_rsi,open_ema_trend,ai_confidence,ai_reasoning,close_reason
6629859064,,,0.0,XAUUSD,BUY,0.01,0,5082.0,0,0,-3.68,0,0,17,Wednesday,,0,0,,0,,unknown
6631624709,,,0.0,XAUUSD,BUY,0.01,0,5064.84,0,0,-3.89,0,0,18,Wednesday,,0,0,,0,,unknown
6632299766,,,0.0,XAUUSD,BUY,0.01,0,5074.5,0,0,1.21,0,1,18,Wednesday,,0,0,,0,,unknown
6632927449,,,0.0,XAUUSD,BUY,0.01,0,5073.0,0,0,-4.37,0,0,18,Wednesday,,0,0,,0,,unknown
6633705331,,,0.0,XAUUSD,BUY,0.01,0,5048.0,0,0,-3.78,0,0,18,Wednesday,,0,0,,0,,unknown
6634239837,,,0.0,XAUUSD,BUY,0.01,0,5057.06,0,0,-2.04,0,0,19,Wednesday,,0,0,,0,,unknown
6634332274,,,0.0,XAUUSD,BUY,0.01,0,5060.0,0,0,-5.18,0,0,19,Wednesday,,0,0,,0,,unknown
6634862770,,,0.0,XAUUSD,BUY,0.01,0,5067.01,0,0,3.02,0,1,19,Wednesday,,0,0,,0,,unknown
6634964987,,,0.0,XAUUSD,BUY,0.01,0,5064.78,0,0,0.08,0,1,19,Wednesday,,0,0,,0,,unknown
6635619317,,,0.0,XAUUSD,BUY,0.01,0,5042.9,0,0,1.98,0,1,19,Wednesday,,0,0,,0,,unknown
6636149339,,,0.0,XAUUSD,BUY,0.01,0,5059.54,0,0,-4.8,0,0,20,Wednesday,,0,0,,0,,unknown
6636664519,,,0.0,XAUUSD,BUY,0.01,0,5054.57,0,0,1.7,0,1,20,Wednesday,,0,0,,0,,unknown
6637222111,,,0.0,XAUUSD,BUY,0.01,0,5061.93,0,0,-4.36,0,0,20,Wednesday,,0,0,,0,,unknown
6637774653,,,0.0,XAUUSD,SELL,0.01,0,5072.09,0,0,-4.05,0,0,20,Wednesday,,0,0,,0,,unknown
6638623326,,,0.0,XAUUSD,BUY,0.01,0,5083.66,0,0,2.95,0,1,21,Wednesday,,0,0,,0,,unknown
6639088267,,,0.0,XAUUSD,SELL,0.01,0,5084.57,0,0,1.23,0,1,21,Wednesday,,0,0,,0,,unknown
