id,date,time,instrument,direction,volume,entry_price,exit_price,sl,tp,pnl,commission,swap,duration_minutes,close_reason,strategy,confidence
6258658550,2026-01-28,01:02,XAUUSD,BUY,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6258737787,2026-01-28,01:06,XAUUSD,SELL,0.01,0,0,0,0,2.71,0,0,0,,AI,0
6259720472,2026-01-28,03:17,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6259798779,2026-01-28,03:24,XAUUSD,BUY,0.01,0,0,0,0,6.14,0,0,0,,AI,0
6259941171,2026-01-28,03:36,XAUUSD,BUY,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6260057522,2026-01-28,03:50,XAUUSD,SELL,0.01,0,0,0,0,5.06,0,0,0,,AI,0
6265382418,2026-01-28,10:01,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6265545417,2026-01-28,10:10,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6265546843,2026-01-28,10:10,XAUUSD,BUY,0.01,0,0,0,0,4.79,0,0,0,,AI,0
6265546844,2026-01-28,10:10,XAUUSD,BUY,0.01,0,0,0,0,0.35,0,0,0,,AI,0
6278628274,2026-01-28,18:52,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6278785457,2026-01-28,18:56,XAUUSD,BUY,0.01,0,0,0,0,-3.35,0,0,0,,AI,0
6279194827,2026-01-28,19:05,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6279245429,2026-01-28,19:07,XAUUSD,BUY,0.01,0,0,0,0,9.85,0,0,0,,AI,0
6280683562,2026-01-28,19:36,XAUUSD,BUY,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6280853510,2026-01-28,19:41,XAUUSD,SELL,0.01,0,0,0,0,9.88,0,0,0,,AI,0
6283423387,2026-01-28,21:05,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6283500711,2026-01-28,21:08,XAUUSD,BUY,0.01,0,0,0,0,8.45,0,0,0,,AI,0
6286438008,2026-01-28,22:51,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6286653918,2026-01-28,22:59,XAUUSD,BUY,0.01,0,0,0,0,-3.96,0,0,0,,AI,0
6288746659,2026-01-29,00:03,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6288795026,2026-01-29,00:06,XAUUSD,BUY,0.01,0,0,0,0,-4.29,0,0,0,,AI,0
6288977959,2026-01-29,00:13,XAUUSD,BUY,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6289075893,2026-01-29,00:17,XAUUSD,SELL,0.01,0,0,0,0,8.05,0,0,0,,AI,0
6289913409,2026-01-29,00:45,XAUUSD,BUY,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6289920514,2026-01-29,00:46,XAUUSD,SELL,0.01,0,0,0,0,-2.99,0,0,0,,AI,0
6290556621,2026-01-29,01:18,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6290696013,2026-01-29,01:29,XAUUSD,BUY,0.01,0,0,0,0,4.33,0,0,0,,AI,0
6299423946,2026-01-29,10:18,XAUUSD,BUY,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6299441995,2026-01-29,10:19,XAUUSD,SELL,0.01,0,0,0,0,4.09,0,0,0,,AI,0
6322427401,2026-01-29,21:10,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6322429160,2026-01-29,21:10,XAUUSD,BUY,0.01,0,0,0,0,-2.73,0,0,0,,AI,0
6322470666,2026-01-29,21:11,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6322483501,2026-01-29,21:11,XAUUSD,BUY,0.01,0,0,0,0,6.12,0,0,0,,AI,0
6324135970,2026-01-29,21:57,XAUUSD,BUY,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6324148382,2026-01-29,21:57,XAUUSD,SELL,0.01,0,0,0,0,3.13,0,0,0,,AI,0
6326143484,2026-01-29,23:15,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6326152472,2026-01-29,23:16,XAUUSD,BUY,0.01,0,0,0,0,-6.55,0,0,0,,AI,0
6326159396,2026-01-29,23:16,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6326197348,2026-01-29,23:18,XAUUSD,BUY,0.01,0,0,0,0,-6.25,0,0,0,,AI,0
6326210553,2026-01-29,23:18,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6326220429,2026-01-29,23:18,XAUUSD,BUY,0.01,0,0,0,0,4.9,0,0,0,,AI,0
6326225972,2026-01-29,23:19,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6326236669,2026-01-29,23:19,XAUUSD,BUY,0.01,0,0,0,0,6.41,0,0,0,,AI,0
6326243507,2026-01-29,23:20,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6326280274,2026-01-29,23:21,XAUUSD,BUY,0.01,0,0,0,0,5.34,0,0,0,,AI,0
,2026-01-29,23:38:16,,,0.01,0,0,0,0,-9.949999999999818,0,0,0,,AI,0
,2026-01-30,01:28:05,,,0.01,0,0,0,0,0.0,0,0,0,,AI,0
6328624493,2026-01-30,01:25,XAUUSD,SELL,0.01,0,0,0,0,0.0,0,0,0,,AI,0
