instrument,entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lot_size,pnl,exit_reason,balance
EURUSD,2025-03-03 09:45:00,2025-03-03 10:15:00,SELL,1.04042,1.03962,1.0410201428571428,1.0396697142857143,0.02,1.5999999999998238,TP,199.1999999999988
XAUUSD,2025-03-03 10:15:00,2025-03-03 10:45:00,BUY,2860.33,2868.56,2860.33,2868.1442857142856,0.01,8.160000000000018,TP,207.35999999999882
EURUSD,2025-03-06 15:00:00,2025-03-06 15:15:00,BUY,1.07965,1.0815,1.0788451428571428,1.080809714285714,0.02,3.6999999999998145,TP,211.05999999999864
EURUSD,2025-03-10 11:00:00,2025-03-10 11:45:00,BUY,1.08182,1.08514,1.08182,1.0844134285714282,0.01,3.3199999999999896,TP,214.37999999999863
XAUUSD,2025-03-11 03:00:00,2025-03-11 04:00:00,BUY,2885.7599999999998,2893.96,2885.7599999999998,2893.0342857142855,0.01,8.130000000000273,TP,222.5099999999989
EURUSD,2025-03-13 10:15:00,2025-03-13 10:45:00,SELL,1.0881299999999998,1.08736,1.0884552857142857,1.0879294285714283,0.06,4.619999999998292,TP,227.1299999999972
EURUSD,2025-03-13 11:45:00,2025-03-13 13:45:00,SELL,1.0877999999999999,1.08565,1.0877999999999999,1.0863691428571427,0.01,2.1499999999998742,TP,229.27999999999707
XAUUSD,2025-03-14 12:30:00,2025-03-14 15:30:00,BUY,2990.41,2988.18,2990.41,3000.0435714285713,0.01,-2.300000000000018,SL,226.97999999999706
XAUUSD,2025-03-17 06:00:00,2025-03-17 08:15:00,SELL,2985.48,2990.08,2989.199642857143,2978.640714285714,0.01,-4.669999999999909,SL,222.30999999999716
EURUSD,2025-03-18 02:00:00,2025-03-18 02:30:00,SELL,1.09178,1.09154,1.0921218571428573,1.0915462857142857,0.06,1.4400000000001079,TP,223.74999999999727
XAUUSD,2025-03-20 09:30:00,2025-03-20 12:15:00,SELL,3044.8500000000004,3030.22,3044.8500000000004,3034.239285714286,0.01,14.560000000000564,TP,238.30999999999784
XAUUSD,2025-03-21 02:00:00,2025-03-21 03:30:00,SELL,3044.3700000000003,3038.76,3044.3700000000003,3040.7085714285718,0.01,5.540000000000127,TP,243.84999999999798
XAUUSD,2025-03-21 03:30:00,2025-03-21 05:00:00,SELL,3038.5600000000004,3031.65,3038.5600000000004,3033.4800000000005,0.01,6.840000000000309,TP,250.6899999999983
EURUSD,2025-03-24 01:00:00,2025-03-24 03:15:00,BUY,1.0825500000000001,1.08255,1.0825500000000001,1.0842337142857141,0.01,-2.220446049250313e-13,SL,250.68999999999807
EURUSD,2025-03-24 05:00:00,2025-03-24 07:45:00,SELL,1.0826399999999998,1.08289,1.0826399999999998,1.0817339999999998,0.02,-0.500000000000167,SL,250.1899999999979
XAUUSD,2025-03-21 21:00:00,2025-03-24 12:15:00,BUY,3021.1299999999997,3032.67,3021.1299999999997,3030.9307142857137,0.01,11.470000000000418,TP,261.6599999999983
XAUUSD,2025-03-24 16:00:00,2025-03-24 16:30:00,SELL,3023.2200000000003,3010.65,3023.2200000000003,3013.2692857142856,0.01,12.500000000000163,TP,274.1599999999985
EURUSD,2025-03-26 04:15:00,2025-03-26 05:15:00,BUY,1.07952,1.07896,1.0790302857142857,1.0800494285714284,0.04,-2.240000000000464,SL,271.919999999998
XAUUSD,2025-03-27 02:30:00,2025-03-27 04:30:00,BUY,3023.3799999999997,3031.35,3023.3799999999997,3030.0007142857144,0.01,7.900000000000254,TP,279.8199999999983
