time,open,high,low,close,tick_volume,spread,real_volume
2023-01-02 07:00:00,1.20782,1.20783,1.20736,1.20747,33,6,0
2023-01-02 08:00:00,1.20747,1.20768,1.20662,1.20747,293,0,0
2023-01-02 09:00:00,1.20747,1.20764,1.2057,1.20628,429,2,0
2023-01-02 10:00:00,1.20633,1.20759,1.20453,1.20454,1438,1,0
2023-01-02 11:00:00,1.20466,1.20567,1.2044,1.20458,1616,1,0
2023-01-02 12:00:00,1.20457,1.20553,1.20455,1.20524,1284,1,0
2023-01-02 13:00:00,1.20524,1.20542,1.20491,1.20515,988,0,0
2023-01-02 14:00:00,1.20516,1.20529,1.205,1.20514,1052,1,0
2023-01-02 15:00:00,1.20515,1.20525,1.20496,1.20516,1203,1,0
2023-01-02 16:00:00,1.20515,1.2053099999999999,1.2049400000000001,1.20519,1083,1,0
2023-01-02 17:00:00,1.20517,1.20527,1.20427,1.20439,1565,1,0
2023-01-02 18:00:00,1.20439,1.20478,1.2035,1.20475,2001,1,0
2023-01-02 19:00:00,1.20466,1.20481,1.20443,1.2046999999999999,546,1,0
2023-01-02 20:00:00,1.20469,1.20474,1.20427,1.2046000000000001,1061,12,0
2023-01-02 21:00:00,1.20459,1.2046999999999999,1.20425,1.20456,477,12,0
2023-01-02 22:00:00,1.2046999999999999,1.20492,1.20436,1.20472,263,12,0
2023-01-02 23:00:00,1.20477,1.20486,1.20432,1.20458,301,14,0
2023-01-03 00:00:00,1.20432,1.20487,1.20397,1.20451,206,17,0
2023-01-03 01:00:00,1.20459,1.20749,1.20452,1.20622,2697,9,0
2023-01-03 02:00:00,1.20622,1.20654,1.20484,1.20537,1825,4,0
2023-01-03 03:00:00,1.20535,1.20561,1.20347,1.20508,5092,5,0
2023-01-03 04:00:00,1.20508,1.2083599999999999,1.20495,1.20785,3764,6,0
2023-01-03 05:00:00,1.20784,1.20848,1.20701,1.20737,3498,7,0
2023-01-03 06:00:00,1.20739,1.20847,1.20717,1.20725,1904,8,0
2023-01-03 07:00:00,1.20725,1.20772,1.20629,1.20693,3447,1,0
2023-01-03 08:00:00,1.20693,1.20745,1.20578,1.20629,4144,1,0
2023-01-03 09:00:00,1.20627,1.20792,1.2022,1.20284,5754,1,0
2023-01-03 10:00:00,1.20285,1.20324,1.19118,1.19123,10206,1,0
2023-01-03 11:00:00,1.19122,1.19446,1.19003,1.19237,7456,1,0
2023-01-03 12:00:00,1.19238,1.19354,1.19052,1.1909,4722,4,0
2023-01-03 13:00:00,1.19091,1.19453,1.19065,1.19312,4138,3,0
2023-01-03 14:00:00,1.19312,1.1974,1.19239,1.19558,4214,1,0
2023-01-03 15:00:00,1.19561,1.20098,1.1948,1.19931,6009,2,0
2023-01-03 16:00:00,1.1993,1.20577,1.19834,1.20299,8254,1,0
2023-01-03 17:00:00,1.20303,1.20368,1.20032,1.20088,8954,1,0
2023-01-03 18:00:00,1.20088,1.20115,1.19562,1.19686,7441,1,0
2023-01-03 19:00:00,1.19686,1.19793,1.19528,1.19642,3893,5,0
2023-01-03 20:00:00,1.19642,1.19874,1.19619,1.19792,3335,4,0
2023-01-03 21:00:00,1.19792,1.1985000000000001,1.19741,1.19837,2966,6,0
2023-01-03 22:00:00,1.1984,1.19912,1.19702,1.19727,3543,6,0
2023-01-03 23:00:00,1.19726,1.19731,1.19646,1.19655,1575,6,0
2023-01-04 00:00:00,1.19616,1.19713,1.19577,1.19625,705,17,0
2023-01-04 01:00:00,1.19632,1.19771,1.1957200000000001,1.19656,1953,9,0
2023-01-04 02:00:00,1.19656,1.19944,1.19652,1.19898,3037,8,0
2023-01-04 03:00:00,1.199,1.19963,1.19831,1.1993800000000001,3868,8,0
2023-01-04 04:00:00,1.19937,1.20011,1.19836,1.19845,2492,8,0
2023-01-04 05:00:00,1.19845,1.19906,1.19844,1.19888,1743,8,0
2023-01-04 06:00:00,1.1989,1.19952,1.19823,1.19915,2021,8,0
2023-01-04 07:00:00,1.19914,1.20002,1.19787,1.19846,3300,1,0
2023-01-04 08:00:00,1.1984,1.19904,1.19716,1.19862,2643,5,0
2023-01-04 09:00:00,1.1985000000000001,1.20407,1.19839,1.20268,6607,1,0
2023-01-04 10:00:00,1.20265,1.20865,1.20257,1.20445,9119,1,0
2023-01-04 11:00:00,1.20442,1.20771,1.20384,1.20601,5606,5,0
2023-01-04 12:00:00,1.20602,1.2082,1.20519,1.20673,5351,4,0
2023-01-04 13:00:00,1.20669,1.20876,1.20381,1.20545,4672,3,0
2023-01-04 14:00:00,1.20545,1.2062599999999999,1.20347,1.20486,4656,5,0
2023-01-04 15:00:00,1.20486,1.20645,1.20296,1.20563,6651,1,0
2023-01-04 16:00:00,1.20561,1.20737,1.20392,1.20688,7653,1,0
2023-01-04 17:00:00,1.2068699999999999,1.20699,1.20137,1.20449,12694,1,0
2023-01-04 18:00:00,1.20448,1.206,1.20194,1.206,6760,1,0
2023-01-04 19:00:00,1.20605,1.20763,1.20566,1.20659,4110,1,0
2023-01-04 20:00:00,1.20659,1.20728,1.20599,1.20656,3560,5,0
2023-01-04 21:00:00,1.20644,1.20684,1.20408,1.2059,7750,5,0
2023-01-04 22:00:00,1.2059,1.20669,1.20547,1.20586,5154,6,0
