entry_time,exit_time,direction,entry_price,exit_price,position_size,pnl_pips,pnl_money,outcome,reason
2023-01-06 16:00:00,2023-01-06 16:30:00,long,0.93704,0.9390599999999999,0.5,20.199999999999108,100.99999999999554,TP,H1_Bullish_M15_OB_Retracement
2023-01-12 16:00:00,2023-01-12 17:30:00,long,0.93191,0.92854,0.15,-33.69999999999984,-50.549999999999756,SL,H1_Bullish_M15_OB_Retracement
2023-02-01 20:00:00,2023-02-01 21:00:00,long,0.91563,0.9169900000000001,0.74,13.600000000000279,100.64000000000206,TP,H1_Bullish_M15_OB_Retracement
2023-05-10 17:00:00,2023-05-10 17:15:00,long,0.88876,0.88772,0.49,-10.400000000000409,-50.960000000002,SL,H1_Bullish_M15_OB_Retracement
2023-06-13 21:15:00,2023-06-14 10:30:00,short,0.90545,0.9037699999999999,0.6,16.80000000000126,100.80000000000754,TP,H1_Bearish_M15_OB_Retracement
2023-08-25 18:15:00,2023-08-25 21:15:00,long,0.88531,0.88406,0.41,-12.500000000000844,-51.25000000000345,SL,H1_Bullish_M15_OB_Retracement
2023-08-28 01:15:00,2023-08-28 05:30:00,long,0.88477,0.88332,0.35,-14.499999999999513,-50.749999999998295,SL,H1_Bullish_M15_OB_Retracement
2023-11-30 17:00:00,2023-11-30 17:30:00,short,0.87449,0.8729899999999999,0.67,15.000000000000568,100.50000000000381,TP,H1_Bearish_M15_OB_Retracement
2024-03-08 18:00:00,2024-03-08 18:15:00,long,0.87638,0.87613,2.04,-2.500000000000835,-51.00000000001703,SL,H1_Bullish_M15_OB_Retracement
2024-08-14 18:15:00,2024-08-14 18:45:00,long,0.8637,0.86328,1.21,-4.1999999999997595,-50.81999999999709,SL,H1_Bullish_M15_OB_Retracement
2025-04-22 09:15:00,2025-04-22 09:30:00,long,0.80881,0.8105100000000001,0.59,17.000000000000348,100.30000000000206,TP,H1_Bullish_M15_OB_Retracement
2025-05-08 00:30:00,2025-05-08 01:45:00,short,0.82273,0.82361,0.58,-8.799999999999919,-51.03999999999953,SL,H1_Bearish_M15_OB_Retracement
2025-05-09 01:30:00,2025-05-09 02:30:00,short,0.83097,0.83185,0.58,-8.799999999999919,-51.03999999999953,SL,H1_Bearish_M15_OB_Retracement
