entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lot_size,pnl,exit_reason,balance
2023-01-04 01:00:00,2023-01-04 03:30:00,SELL,1838.48,1842.22,1840.8614285714286,1834.317142857143,0.01,-3.810000000000009,SL,96.19
2023-01-04 14:00:00,2023-01-04 15:15:00,SELL,1858.12,1859.17,1858.12,1850.9935714285714,0.01,-1.120000000000182,SL,95.06999999999982
2023-01-05 05:00:00,2023-01-05 08:00:00,SELL,1855.18,1855.32,1855.18,1849.6071428571431,0.01,-0.20999999999987268,SL,94.85999999999996
2023-01-05 09:00:00,2023-01-05 10:00:00,SELL,1853.07,1847.04,1853.07,1847.8421428571428,0.01,5.959999999999972,TP,100.81999999999994
2023-01-17 15:30:00,2023-01-17 19:15:00,BUY,1913.01,1907.13,1909.1542857142856,1920.1214285714286,0.01,-5.949999999999882,SL,94.87000000000006
2023-01-17 21:30:00,2023-01-18 05:15:00,SELL,1909.04,1902.18,1909.04,1902.4835714285712,0.01,6.7899999999999,TP,101.65999999999997
2023-01-24 15:00:00,2023-01-24 16:00:00,SELL,1936.32,1930.18,1936.32,1930.712857142857,0.01,6.069999999999872,TP,107.72999999999985
2023-01-27 04:00:00,2023-01-27 04:45:00,SELL,1929.96,1925.66,1929.96,1925.9385714285715,0.01,4.229999999999954,TP,111.95999999999981
2023-01-31 03:00:00,2023-01-31 05:15:00,BUY,1923.98,1923.84,1923.98,1926.9150000000002,0.01,-0.21000000000010005,SL,111.74999999999972
2023-02-01 09:00:00,2023-02-01 13:00:00,SELL,1927.04,1927.7,1927.04,1923.175,0.01,-0.7300000000000819,SL,111.01999999999964
2023-02-01 21:00:00,2023-02-01 21:30:00,BUY,1927.67,1938.77,1923.3985714285716,1935.612857142857,0.01,11.029999999999909,TP,122.04999999999956
2023-02-03 09:00:00,2023-02-03 09:30:00,SELL,1916.99,1912.28,1919.5032142857144,1912.5635714285713,0.01,4.640000000000036,TP,126.6899999999996
2023-02-03 15:00:00,2023-02-03 15:30:00,SELL,1914.75,1888.06,1918.1707142857144,1908.5085714285713,0.01,26.620000000000054,TP,153.30999999999966
2023-02-06 02:15:00,2023-02-06 04:00:00,BUY,1866.94,1874.37,1866.94,1873.1192857142858,0.01,7.359999999999836,TP,160.6699999999995
2023-02-07 03:30:00,2023-02-07 04:45:00,BUY,1870.69,1874.47,1870.69,1873.7964285714286,0.01,3.709999999999973,TP,164.37999999999948
2023-02-08 09:00:00,2023-02-08 09:15:00,BUY,1875.16,1879.76,1873.0057142857142,1878.8685714285716,0.01,4.529999999999909,TP,168.9099999999994
2023-02-08 16:15:00,2023-02-08 17:00:00,SELL,1880.97,1871.94,1880.97,1872.4507142857142,0.01,8.959999999999972,TP,177.86999999999938
2023-02-09 16:30:00,2023-02-09 17:30:00,SELL,1882.6299999999999,1873.17,1882.6299999999999,1874.4921428571429,0.01,9.389999999999809,TP,187.2599999999992
2023-02-10 09:15:00,2023-02-10 10:00:00,BUY,1860.8700000000001,1871.0,1860.8700000000001,1866.8650000000002,0.01,10.059999999999881,TP,197.31999999999908
2023-02-10 17:00:00,2023-02-10 23:30:00,SELL,1864.86,1865.16,1864.86,1855.7492857142856,0.01,-0.3700000000001819,SL,196.9499999999989
2023-02-14 03:15:00,2023-02-14 05:45:00,BUY,1855.29,1858.2,1855.29,1858.09,0.01,2.840000000000082,TP,199.789999999999
2023-02-15 04:00:00,2023-02-15 04:30:00,SELL,1858.4199999999998,1853.77,1860.6085714285714,1854.6428571428569,0.01,4.579999999999863,TP,204.36999999999887
2023-02-20 01:00:00,2023-02-20 03:15:00,SELL,1840.3799999999999,1841.12,1840.3799999999999,1836.6607142857142,0.01,-0.8100000000000092,SL,203.55999999999887
2023-02-20 10:30:00,2023-02-20 19:00:00,BUY,1842.69,1841.42,1842.69,1847.4442857142856,0.01,-1.3399999999999819,SL,202.2199999999989
2023-02-21 15:00:00,2023-02-21 16:15:00,BUY,1834.29,1841.08,1834.29,1840.1307142857142,0.01,6.719999999999963,TP,208.93999999999886
2023-02-28 05:00:00,2023-02-28 08:30:00,SELL,1816.56,1816.76,1816.56,1812.9285714285713,0.01,-0.2700000000000455,SL,208.66999999999882
2023-02-28 15:00:00,2023-02-28 15:45:00,BUY,1809.17,1814.07,1806.5475000000001,1813.8149999999998,0.01,4.829999999999863,TP,213.4999999999987
2023-03-02 02:15:00,2023-03-02 03:30:00,SELL,1837.02,1831.38,1837.02,1834.464285714286,0.02,11.139999999999745,TP,224.63999999999845
2023-03-07 03:15:00,2023-03-07 04:00:00,BUY,1846.42,1850.0,1844.8517857142858,1848.9564285714284,0.02,7.019999999999855,TP,231.65999999999832
2023-03-09 10:00:00,2023-03-09 10:30:00,BUY,1814.43,1818.71,1812.360357142857,1817.969285714286,0.01,4.209999999999972,TP,235.8699999999983
2023-03-13 10:00:00,2023-03-13 11:15:00,BUY,1878.89,1889.39,1878.89,1887.5657142857144,0.01,10.43,TP,246.2999999999983
2023-03-14 03:00:00,2023-03-14 03:30:00,SELL,1909.8999999999999,1905.58,1912.1560714285713,1905.9878571428571,0.01,4.249999999999936,TP,250.54999999999825
2023-03-16 07:00:00,2023-03-16 07:45:00,BUY,1914.31,1920.0,1914.31,1919.6085714285712,0.01,5.620000000000054,TP,256.1699999999983
2023-03-16 09:00:00,2023-03-16 11:00:00,BUY,1913.5800000000002,1921.17,1913.5800000000002,1920.7364285714289,0.01,7.519999999999918,TP,263.68999999999824
2023-03-20 02:00:00,2023-03-20 07:30:00,SELL,1976.69,1977.13,1976.69,1964.4228571428573,0.01,-0.5100000000000546,SL,263.1799999999982
2023-03-21 02:15:00,2023-03-21 03:00:00,BUY,1976.54,1981.41,1976.54,1981.0971428571427,0.01,4.800000000000118,TP,267.9799999999983
2023-03-23 14:00:00,2023-03-23 14:30:00,SELL,1978.37,1967.61,1982.5171428571427,1970.6757142857143,0.01,10.68999999999999,TP,278.6699999999983
2023-03-29 03:00:00,2023-03-29 04:15:00,SELL,1971.55,1967.3,1973.754642857143,1967.7407142857141,0.01,4.18,TP,282.8499999999983
2023-03-30 16:00:00,2023-03-30 18:00:00,SELL,1968.6499999999999,1974.42,1972.6707142857142,1961.2085714285713,0.01,-5.8400000000002095,SL,277.0099999999981
2023-03-31 09:00:00,2023-03-31 10:15:00,BUY,1980.7,1977.79,1980.7,1984.267142857143,0.01,-2.9800000000000817,SL,274.02999999999804
2023-04-06 03:00:00,2023-04-06 03:45:00,SELL,2020.0,2017.05,2021.7128571428573,2017.1742857142856,0.02,5.760000000000091,TP,279.78999999999814
2023-04-13 02:00:00,2023-04-13 06:00:00,BUY,2016.18,2015.94,2016.18,2020.445714285714,0.01,-0.3100000000000091,SL,279.47999999999814
2023-04-14 03:00:00,2023-04-14 03:30:00,BUY,2039.32,2043.1,2037.940357142857,2041.4792857142857,0.02,7.419999999999946,TP,286.8999999999981
2023-04-17 15:00:00,2023-04-17 15:30:00,SELL,2008.77,1999.46,2011.9153571428571,2003.0792857142858,0.01,9.239999999999945,TP,296.13999999999805
2023-04-20 05:00:00,2023-04-20 09:00:00,SELL,1995.31,1997.21,1995.31,1990.172142857143,0.01,-1.970000000000091,SL,294.16999999999797
2023-04-21 04:00:00,2023-04-21 08:15:00,SELL,2004.1499999999999,1999.34,2004.1499999999999,1999.3828571428571,0.01,4.739999999999945,TP,298.9099999999979
2023-04-21 16:00:00,2023-04-21 16:45:00,SELL,1991.28,1974.07,1996.2639285714286,1981.912142857143,0.01,17.140000000000036,TP,316.04999999999797
2023-04-24 11:15:00,2023-04-24 16:15:00,BUY,1981.4,1981.0,1981.4,1988.2264285714284,0.01,-0.47000000000009096,SL,315.5799999999979
2023-04-28 01:00:00,2023-04-28 04:30:00,SELL,1987.73,1990.94,1987.73,1983.674285714286,0.01,-3.280000000000036,SL,312.29999999999785
2023-05-01 02:00:00,2023-05-01 04:30:00,SELL,1987.8,1982.51,1987.8,1983.7485714285713,0.01,5.219999999999963,TP,317.5199999999978
2023-05-05 05:00:00,2023-05-05 06:15:00,SELL,2048.48,2049.71,2048.48,2045.0735714285715,0.02,-2.6000000000000365,SL,314.9199999999978
2023-05-08 05:00:00,2023-05-08 06:30:00,BUY,2017.1200000000001,2022.58,2017.1200000000001,2021.452142857143,0.01,5.389999999999809,TP,320.3099999999976
2023-05-08 18:00:00,2023-05-08 21:00:00,BUY,2023.53,2021.76,2023.53,2031.5392857142856,0.01,-1.8399999999999819,SL,318.46999999999764
2023-05-09 06:30:00,2023-05-09 09:30:00,BUY,2024.26,2024.21,2024.26,2028.7935714285713,0.01,-0.11999999999995453,SL,318.3499999999977
