time,Open,High,Low,Close,Volume
2023-01-02 07:00:00,0.92259,0.92308,0.922,0.92207,13
2023-01-02 08:00:00,0.92209,0.92276,0.9218,0.92223,111
2023-01-02 09:00:00,0.92223,0.92288,0.92006,0.92146,37
2023-01-02 10:00:00,0.92021,0.92268,0.92013,0.9215,744
2023-01-02 11:00:00,0.92112,0.92157,0.91978,0.92136,5564
2023-01-02 12:00:00,0.92136,0.92274,0.92124,0.92165,11086
2023-01-02 13:00:00,0.92157,0.92358,0.92143,0.92346,4506
2023-01-02 14:00:00,0.92345,0.92468,0.92255,0.9241,4545
2023-01-02 15:00:00,0.92413,0.92422,0.92302,0.92368,1452
2023-01-02 16:00:00,0.92368,0.92505,0.92366,0.92465,1810
2023-01-02 17:00:00,0.92469,0.92529,0.92446,0.92491,2157
2023-01-02 18:00:00,0.92492,0.92531,0.92458,0.92468,2962
2023-01-02 19:00:00,0.92467,0.92535,0.92413,0.92501,628
2023-01-02 20:00:00,0.92502,0.92552,0.9239,0.924,219
2023-01-02 21:00:00,0.924,0.92498,0.92387,0.92419,216
2023-01-02 22:00:00,0.92409,0.92458,0.92185,0.92349,444
2023-01-02 23:00:00,0.92197,0.92366,0.92132,0.92309,241
2023-01-03 00:00:00,0.92309,0.92315,0.921,0.92151,317
2023-01-03 01:00:00,0.92156,0.92334,0.92131,0.9232,3259
2023-01-03 02:00:00,0.9232,0.92345,0.92172,0.92239,2860
2023-01-03 03:00:00,0.92239,0.92309,0.92153,0.92289,3977
2023-01-03 04:00:00,0.92289,0.92505,0.92265,0.92458,3172
2023-01-03 05:00:00,0.92458,0.92555,0.92412,0.92504,3962
2023-01-03 06:00:00,0.92504,0.92561,0.92424,0.92522,2574
2023-01-03 07:00:00,0.92521,0.92538,0.92068,0.92154,3496
2023-01-03 08:00:00,0.92154,0.92228,0.92133,0.92158,2807
2023-01-03 09:00:00,0.92164,0.92189,0.91846,0.91863,3280
2023-01-03 10:00:00,0.91858,0.91863,0.91339,0.91374,6753
2023-01-03 11:00:00,0.91374,0.9155,0.91235,0.91498,6633
2023-01-03 12:00:00,0.91496,0.91512,0.91343,0.91368,4291
2023-01-03 13:00:00,0.91364,0.91378,0.91208,0.91278,3631
2023-01-03 14:00:00,0.91275,0.91638,0.91213,0.91603,3868
2023-01-03 15:00:00,0.91603,0.92083,0.91597,0.92083,5042
2023-01-03 16:00:00,0.92083,0.92156,0.91873,0.91887,5555
2023-01-03 17:00:00,0.91882,0.91963,0.91663,0.91951,6145
2023-01-03 18:00:00,0.91948,0.92053,0.91834,0.91938,5187
2023-01-03 19:00:00,0.91939,0.92001,0.91881,0.91944,4413
2023-01-03 20:00:00,0.91944,0.92045,0.91891,0.91951,4197
2023-01-03 21:00:00,0.91954,0.921,0.91946,0.92034,4119
2023-01-03 22:00:00,0.92034,0.92059,0.91924,0.91974,3276
2023-01-03 23:00:00,0.91971,0.92019,0.91925,0.91935,1645
2023-01-04 00:00:00,0.9193,0.91952,0.91847,0.91905,393
2023-01-04 01:00:00,0.91903,0.91962,0.91849,0.91948,2086
2023-01-04 02:00:00,0.91947,0.92109,0.91903,0.92088,3893
2023-01-04 03:00:00,0.92088,0.92314,0.92059,0.9227,4769
2023-01-04 04:00:00,0.92271,0.9242,0.92259,0.92308,4163
2023-01-04 05:00:00,0.92308,0.92493,0.92306,0.92485,3900
2023-01-04 06:00:00,0.92483,0.92896,0.92369,0.92764,3527
2023-01-04 07:00:00,0.92763,0.92888,0.92561,0.92802,5410
2023-01-04 08:00:00,0.92801,0.92841,0.92732,0.92833,4855
2023-01-04 09:00:00,0.92836,0.93258,0.92828,0.93172,5978
2023-01-04 10:00:00,0.93173,0.93449,0.93079,0.93128,6295
2023-01-04 11:00:00,0.93126,0.93286,0.9311,0.93138,5289
2023-01-04 12:00:00,0.93133,0.93218,0.93045,0.93208,4155
2023-01-04 13:00:00,0.93208,0.93263,0.9307,0.93123,3091
2023-01-04 14:00:00,0.93123,0.93123,0.92862,0.92913,3373
2023-01-04 15:00:00,0.92913,0.93033,0.92867,0.92903,5421
2023-01-04 16:00:00,0.92898,0.93127,0.92859,0.92986,5582
2023-01-04 17:00:00,0.92986,0.93021,0.92563,0.92689,7885
2023-01-04 18:00:00,0.92685,0.92695,0.92413,0.92528,5356
2023-01-04 19:00:00,0.92529,0.92543,0.92297,0.92317,4585
2023-01-04 20:00:00,0.92318,0.92489,0.92256,0.92279,3165
2023-01-04 21:00:00,0.92273,0.92316,0.92138,0.92209,6553
2023-01-04 22:00:00,0.92205,0.92222,0.92133,0.92179,4480
2023-01-04 23:00:00,0.92178,0.92221,0.9214,0.9216,1483
2023-01-05 00:00:00,0.92101,0.92155,0.91975,0.92109,294
2023-01-05 01:00:00,0.92098,0.92133,0.92014,0.9208,1943
2023-01-05 02:00:00,0.92081,0.92221,0.92001,0.9214,4581
2023-01-05 03:00:00,0.9214,0.92304,0.92135,0.92224,5297
2023-01-05 04:00:00,0.92224,0.92231,0.92014,0.92049,4927
2023-01-05 05:00:00,0.92048,0.92094,0.91877,0.91894,3989
2023-01-05 06:00:00,0.91894,0.92056,0.91869,0.92027,3382
2023-01-05 07:00:00,0.92027,0.92074,0.91973,0.92068,3357
2023-01-05 08:00:00,0.92068,0.92197,0.92068,0.92093,4210
2023-01-05 09:00:00,0.92096,0.92207,0.91933,0.92038,3416
2023-01-05 10:00:00,0.92033,0.92143,0.91948,0.92139,4451
2023-01-05 11:00:00,0.92139,0.92193,0.9209,0.92168,3372
2023-01-05 12:00:00,0.92168,0.9224,0.92103,0.92213,3514
2023-01-05 13:00:00,0.92213,0.92318,0.92213,0.92288,2896
2023-01-05 14:00:00,0.92288,0.92321,0.92188,0.92193,2844
2023-01-05 15:00:00,0.92193,0.92261,0.91685,0.91723,7459
2023-01-05 16:00:00,0.91723,0.91817,0.91579,0.91612,7435
2023-01-05 17:00:00,0.91615,0.91753,0.91476,0.91568,7325
2023-01-05 18:00:00,0.9157,0.9168,0.9155,0.91557,5698
2023-01-05 19:00:00,0.91557,0.9164,0.91543,0.91588,4219
2023-01-05 20:00:00,0.91588,0.91819,0.91531,0.91724,4599
2023-01-05 21:00:00,0.91725,0.91781,0.91664,0.91679,3939
2023-01-05 22:00:00,0.91677,0.91714,0.91659,0.91693,2768
