time,Open,High,Low,Close,Volume
2023-01-03 01:00:00,24.005,24.127,23.941,24.1,1112
2023-01-03 02:00:00,24.1,24.162,24.034,24.092,1216
2023-01-03 03:00:00,24.092,24.178,23.878,24.004,2387
2023-01-03 04:00:00,24.004,24.258,23.982,24.24,2001
2023-01-03 05:00:00,24.24,24.459,24.23,24.339,1592
2023-01-03 06:00:00,24.342,24.412,24.301,24.372,928
2023-01-03 07:00:00,24.373,24.416,24.307,24.386,1488
2023-01-03 08:00:00,24.388,24.532,24.355,24.408,1302
2023-01-03 09:00:00,24.41,24.521,24.353,24.521,1989
2023-01-03 10:00:00,24.527,24.541,24.21,24.235,2525
2023-01-03 11:00:00,24.236,24.456,24.219,24.372,1949
2023-01-03 12:00:00,24.372,24.403,24.278,24.293,1354
2023-01-03 13:00:00,24.292,24.308,24.202,24.28,1447
2023-01-03 14:00:00,24.28,24.322,24.223,24.253,1439
2023-01-03 15:00:00,24.26,24.384,24.229,24.36,2197
2023-01-03 16:00:00,24.358,24.49,24.303,24.303,2702
2023-01-03 17:00:00,24.302,24.339,24.021,24.174,2805
2023-01-03 18:00:00,24.177,24.197,23.957,24.042,1981
2023-01-03 19:00:00,24.04,24.072,23.968,24.021,1277
2023-01-03 20:00:00,24.021,24.102,23.995,24.067,1232
2023-01-03 21:00:00,24.066,24.066,23.951999999999998,24.01,1254
2023-01-03 22:00:00,24.01,24.025,23.941,23.963,904
2023-01-03 23:00:00,23.957,24.011,23.946,23.998,602
2023-01-04 01:00:00,23.977,23.981,23.951999999999998,23.972,459
2023-01-04 02:00:00,23.972,24.077,23.964,24.076,766
2023-01-04 03:00:00,24.077,24.107,23.953,24.09,1684
2023-01-04 04:00:00,24.089,24.119,24.066,24.07,1180
2023-01-04 05:00:00,24.07,24.111,24.06,24.104,829
2023-01-04 06:00:00,24.104,24.142,24.097,24.134,796
2023-01-04 07:00:00,24.134,24.147,24.051,24.082,1085
2023-01-04 08:00:00,24.081,24.156,24.046,24.116,1186
2023-01-04 09:00:00,24.111,24.317,24.102,24.197,1965
2023-01-04 10:00:00,24.195,24.384,24.18,24.305,2567
2023-01-04 11:00:00,24.31,24.356,24.234,24.316,1868
2023-01-04 12:00:00,24.316,24.409,24.311,24.374,1480
2023-01-04 13:00:00,24.375,24.458,24.265,24.269,1258
2023-01-04 14:00:00,24.271,24.31,24.111,24.163,1572
2023-01-04 15:00:00,24.163,24.304,24.109,24.208,2413
2023-01-04 16:00:00,24.212,24.298,24.161,24.238,2631
2023-01-04 17:00:00,24.184,24.236,23.94,24.096,3171
2023-01-04 18:00:00,24.096,24.188,24.023,24.123,1941
2023-01-04 19:00:00,24.123,24.13,23.762,23.767,1322
2023-01-04 20:00:00,23.762,23.843,23.618,23.666,1906
2023-01-04 21:00:00,23.663,23.82,23.582,23.747,2703
2023-01-04 22:00:00,23.747,23.78,23.677,23.775,1427
2023-01-04 23:00:00,23.775,23.811,23.739,23.751,507
2023-01-05 01:00:00,23.774,23.822,23.768,23.794,489
2023-01-05 02:00:00,23.802,23.846,23.765,23.832,920
2023-01-05 03:00:00,23.832,23.91,23.804,23.863,1724
2023-01-05 04:00:00,23.863,23.863,23.73,23.786,1549
2023-01-05 05:00:00,23.787,23.787,23.663,23.676,1197
2023-01-05 06:00:00,23.677,23.766,23.676,23.761,655
2023-01-05 07:00:00,23.761,23.792,23.682,23.785,1030
2023-01-05 08:00:00,23.785,23.864,23.627,23.627,1401
2023-01-05 09:00:00,23.628,23.788,23.609,23.652,1889
2023-01-05 10:00:00,23.658,23.669,23.203,23.38,2640
2023-01-05 11:00:00,23.382,23.561,23.368,23.513,1544
2023-01-05 12:00:00,23.516,23.532,23.45,23.467,1266
2023-01-05 13:00:00,23.47,23.564,23.432,23.445,1471
2023-01-05 14:00:00,23.447,23.494,23.398,23.415,1502
2023-01-05 15:00:00,23.416,23.523,23.219,23.263,3532
